sigla,orgao,unidade,endereco_atual,lat_atual,lon_atual,RA_atual,consulta_osm,candidato_nome,candidato_endereco,candidato_lat,candidato_lon,candidato_RA,confianca,acao_recomendada,observacao
RA Riacho Fundo II,Administração Regional do Riacho Fundo II,Ouvidoria – RA Riacho Fundo II,Localização aproximada na RA Riacho Fundo II (validar sede),-15.920035475,-48.0243808480772,Riacho Fundo II,"Administração Regional do Riacho Fundo II, Distrito Federal, Brasil",,,,,,baixa,manter_aprox_para_revisao_manual,
RA SCIA/Estrutural,Administração Regional do SCIA,Ouvidoria – RA SCIA/Estrutural,"Setor Central, Área Especial 3, Estrutural",-15.7845,-47.9915,SCIA,"Administração Regional do SCIA, Distrito Federal, Brasil",,,,,,baixa,manter_aprox_para_revisao_manual,
RA SIA,Administração Regional do SIA,Ouvidoria – RA SIA,Localização aproximada na RA SIA (validar sede),-15.774151960000001,-47.955522145336886,SIA,"Administração Regional do SIA, Distrito Federal, Brasil",Administração Regional do SIA - RA XXIX,"Administração Regional do SIA - RA XXIX, SIA Trecho 8, SIA, Distrito Federal, Região Centro-Oeste, 71200-100, Brasil",-15.7973690,-47.9477964,SIA,media,candidato_osm_revisar_antes_de_aplicar,
RA Sol Nascente/  Pôr do Sol,Administração Regional do Sol Nascente/Pôr do Sol,Ouvidoria – RA Sol Nascente/  Pôr do Sol,Localização aproximada na RA Sol Nascente/  Pôr do Sol (validar sede),-15.83086338,-48.15213630134451,Sol Nascente/  Pôr do Sol,"Administração Regional do Sol Nascente/Pôr do Sol, Distrito Federal, Brasil",Futura sede da Administração Regional do Sol Nascente e Pôr do Sol (RA XXXII),"Futura sede da Administração Regional do Sol Nascente e Pôr do Sol (RA XXXII), Trecho II, Trecho I, Sol Nascente/Pôr do Sol, Distrito Federal, Região Centro-Oeste, Brasil",-15.8307048,-48.1399495,Sol Nascente/  Pôr do Sol,media,candidato_osm_revisar_antes_de_aplicar,
RA Sudoeste/ Octogonal,Administração Regional do Sudoeste/Octogonal,Ouvidoria – RA Sudoeste/ Octogonal,Localização aproximada na RA Sudoeste/ Octogonal (validar sede),-15.795547379999999,-47.92216843177739,Sudoeste/ Octogonal,"Administração Regional do Sudoeste/Octogonal, Distrito Federal, Brasil",Administração Regional do Sudoeste/Octogonal - RA XXII,"Administração Regional do Sudoeste/Octogonal - RA XXII, Ciclovia do Sudoeste, Setor Residencial Interno 1, Sudoeste e Octogonal, Distrito Federal, Região Centro-Oeste, 70670-521, Brasil",-15.7939170,-47.9154297,Sudoeste/ Octogonal,media,candidato_osm_revisar_antes_de_aplicar,
ADASA,Agência Reguladora de Águas e Saneamento do DF (ADASA),Ouvidoria – ADASA,Localização aproximada a validar,-15.78377,-47.90832,Plano Piloto,"ADASA Agência Reguladora de Águas e Saneamento do DF (ADASA), Brasília, Distrito Federal, Brasil",,,,,,baixa,manter_aprox_para_revisao_manual,
BRB,Banco de Brasília (BRB),Ouvidoria – BRB,Localização aproximada a validar,-15.78377,-47.90832,Plano Piloto,"BRB Banco de Brasília (BRB), Brasília, Distrito Federal, Brasil",,,,,,baixa,manter_aprox_para_revisao_manual,
CC,Casa Civil,Ouvidoria – CC,Localização aproximada a validar,-15.78377,-47.90832,Plano Piloto,"CC Casa Civil, Brasília, Distrito Federal, Brasil",,,,,,baixa,manter_aprox_para_revisao_manual,
CM,Casa Militar,Ouvidoria – CM,Localização aproximada a validar,-15.78377,-47.90832,Plano Piloto,"CM Casa Militar, Brasília, Distrito Federal, Brasil",,,,,,baixa,manter_aprox_para_revisao_manual,
CAESB,Companhia de Saneamento Ambiental do DF (CAESB),Ouvidoria – CAESB,"Av. Sibipiruna, Lotes 13/21, Águas Claras",-15.835,-48.029,Águas Claras,"CAESB Companhia de Saneamento Ambiental do DF (CAESB), Brasília, Distrito Federal, Brasil",,,,,,baixa,manter_aprox_para_revisao_manual,
