nome,sigla,orgao,endereco,lat,lon,fonte,libras,selo,capacitado,itens,acess,n_itens,data,RA
Ouvidoria – TERRACAP,TERRACAP,Companhia Imobiliária de Brasília (TERRACAP),"SAM, Bloco F, Ed. Sede TERRACAP",-15.81334902,-47.90695139,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",6,13/11/2024,Plano Piloto
Ouvidoria – NOVACAP,NOVACAP,Companhia Urbanizadora da Nova Capital do Brasil (NOVACAP),"Setor de Áreas Públicas (SAP), Bloco A, Lote 1, SIA, Brasília - DF, 71215-900",-15.8033,-47.9356,validado,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",5,2025,Cruzeiro
Ouvidoria – CGDF,CGDF,Controladoria-Geral do Distrito Federal,"Anexo do Palácio do Buriti, 12º andar",-15.78346872,-47.90855532,validado,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",7,2025,Plano Piloto
Ouvidoria – CBMDF,CBMDF,Corpo de Bombeiros (CBMDF),"QCG - Quartel do Comando Geral, SAM Lote D Módulo E, Plano Piloto, Brasília - DF, 70620-000",-15.7801,-47.9158,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",8,2025,Plano Piloto
Ouvidoria – DPD,DPD,Defensoria Pública do DF,"SIA Trecho 17, Rua 7, Lote 45, Guará/SIA, Brasília - DF, 71200-010",-15.8118,-47.9542,validado,Sim,Sim,Não,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Atendimento presencial em Libras']",6,2025,Guará
Ouvidoria – DER-DF,DER-DF,Departamento de Estrada de Rodagem do DF (DER),"SAM, Bloco C, Ed. Sede DER-DF",-15.77721994,-47.909518,validado,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",7,2025,Plano Piloto
Ouvidoria – DETRAN-DF,DETRAN-DF,Departamento de Trânsito do DF (DETRAN),"SAM, Bloco T, Ed. Sede DETRAN",-15.78002194,-47.9089311,validado,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",4,22/10/2024,Plano Piloto
Ouvidoria – EMATER,EMATER,Empresa de Assistência Técnica e Extensão Rural do Distrito Federal (EMATER),"Parque Estação Biológica - AENW, Edifício Sede EMATER-DF, Plano Piloto, Brasília - DF, 70770-915",-15.7508,-47.9042,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",6,2025,Plano Piloto
Ouvidoria – Fepecs,Fepecs,Fundação de Ensino e Pesquisa em Ciências da Saúde (Fepecs),"SMHN Quadra 501, Bloco A, Asa Norte, Plano Piloto, Brasília - DF, 70710-904",-15.7881,-47.8872,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",6,2025,Plano Piloto
Ouvidoria – FHB,FHB,Fundação Hemocentro de Brasília (FHB),"SMHN Quadra 3, Conjunto A, Bloco 3",-15.78496035,-47.88612457,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso antiderrapante', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",6,2025,Plano Piloto
